Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,AM,PM,Vehicle Year,Make,Model,License Plate Number,Vehicle Identification Number,State Vehicle Is Registered In,Address Of Accident,City,County,State,Zip Code,Moving,Stopped In Traffic,Pedestrian Involved,Bicyclist Involved,Undefined,Other,Number Of Vehicles Involved,Damage: Unknown,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Click 1,Left Rear 1,Rear Bumper,Right Rear 1,Left Rear 2,Left Rear 3,Right Rear 2,Right Rear 3,Left Rear Passenger 1,Left Rear Passenger 2,Right Rear Passenger 1,Right Rear Passenger 2,Left Rear Passenger 3,Left Rear Passenger 4,Right Rear Passenger 3,Right Rear Passenger 4,Front Driver Side 1,Front Driver Side 2,Front Passenger Side 1,Front Passenger Side 2,Front Driver Side 3,Front Driver Side 4,Front Passenger Side 3,Front Passenger Side 4,Left Front Corner 1,Left Front Corner 2,Right Front Corner 1,Right Front Corner 2,Left Front Corner 3,Front Bumper,Model_2,License Plate Number_2,Vehicle Identification Number_2,State Vehicle Is Registered In_2,Moving_2,Stopped In Traffic_2,Pedestrian_2,Bicyclist_2,Undefined_2,Other_2,Number Of Vehicles Involved_2,Drivers Full Name First Middle Last_2,Conventional Mode,Accident Detail Description,Additional Information Attached_3,Weather A 1,Weather A 2,Weather B 1,Weather B 2,Weather C 1,Weather C 2,Weather D 1,Weather D 2,Weather E 1,Weather E 2,Weather F 1,Weather F 2,Weather G 1,Weather G 2,Lighting A 1,Lighting A 2,Lighting B 1,Lighting B 2,Lighting C 1,Lighting C 2,Lighting D 1,Lighting D 2,Lighting E 1,Lighting E 2,Roadway A 1,Roadway A 2,Roadway B 1,Roadway B 2,Roadway C 1,Roadway C 2,Roadway D 1,Roadway D 2,Road Conditions A 1,Road Conditions A 2,Road Conditions B 1,Road Conditions B 2,Road Conditions C 1,Road Conditions C 2,Road Conditions D 1,Road Conditions D 2,Road Conditions E 1,Road Conditions E 2,Road Conditions F 1,Road Conditions F 2,Road Conditions G 1,Road Conditions G 2,Road Conditions H 1,Road Conditions H 2,Movement A 1,Movement A 2,Movement  B 1,Movement  B 2,Movement C 1,Movement C 2,Movement  D 1,Movement  D 2,Movement  E 1,Movement  E 2,Movement  F 1,Movement  F 2,Movement  G 1,Movement  G 2,Movement  H 1,Movement  H 2,Movement  I 1,Movement  I 2,Movement J 1,Movement J 2,Movement  K 1,Movement  K 2,Movement  L 1,Movement  L 2,Movement  M 1,Movement  M 2,Movement  N 1,Movement  N 2,Movement  O 1,Movement  O 2,Movement  P 1,Movement  P 2,Movement  Q 1,Movement  Q 2,Movement  R 1,Movement  R 2,Type A 1,Type A 2,Type B 1,Type B 2,Type C 1,Type C 2,Type D 1,Type D 2,Type E 1,Type E 2,Type F 1,Type F 2,Type G 1,Type G 2,Type H 1,Type H 2,Other A Yes,Other A No,Other B,Other C,Other D,Other E,Other F,Other G,Other H Yes,Other H No,Other I,Other J,Other K,Other L,Right Front Corner 3,Vehicle Year_2,Autonomous Mode,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
Waymo LLC,Waymo LLC,3/26/2022,1:16,Yes,,2021.0,Jaguar,I-Pace,,,CA,Oakdale Avenue and Toland Street ,San Francisco,San Francisco,CA,94124.0,Yes,,,,,,2,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Honda SUV,,,,Yes,,,,,,2.0,,,"On March 26, 2022 at 1:16 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a SUV on Oakdale Avenue and Toland Street.  The Waymo AV was slowing for a stop sign while traveling westbound on Oakdale Avenue in autonomous mode. An SUV approached from behind and made contact with the rear of the Waymo AV. The other party immediately left the scene of the event. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained moderate damage.",,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.7411031,-122.401572,-1,0,1,1,2
Cruise LLC,Cruise,3/26/2022,2:07,Yes,,2020.0,Cruise,AV,,,CA,2200 Greenwich St,San Francisco,San Francisco,CA,94123.0,,Yes,,,,,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Ranger,,,CA,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was traveling eastbound on Greenwich Street between Steiner Street and Fillmore Street. The Cruise AV approached a pickup truck that was reversing on eastbound Greenwich Street and the Cruise AV stopped as the pickup truck continued to reverse. The pickup truck continued to reverse and made contact with the Cruise AV, damaging the front bumper of the Cruise AV. There were no injuries and the Cruise AV was towed from the incident.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,2004.0,Yes,37.7993973,-122.4324522,0,0,0,1,2
"Pony.ai, Inc.",Pony.ai,3/28/2022,11:30,Yes,,2019.0,Hyundai,Kona EV,,,CA,Tustin Ranch Rd traveling eastbound,Tustin,Orange,CA,92606.0,Yes,,,,,,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,"On March 28, 2022, while in supervised (“Drivered”) autonomous mode traveling eastbound on Tustin Ranch Rd in Tustin, CA, a Pony.ai Autonomous Vehicle drove over a temporary sign that had previously fallen over and was lying flat on its side in the travel lane. The impact redirected the vehicle towards the curb. The Safety Operator took control, braked, and steered the vehicle away from the direction of the curb. The right front tire scraped the right curb. The vehicle sustained minor damage to the right front strut and control arm. There were no injuries and no other vehicles involved. The Safety Operator drove the vehicle back to Pony.ai’s Irvine facility.",,,,Yes,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,33.6951,-117.8224,-1,0,0,0,0
Cruise LLC,Cruise,3/29/2022,9:44,Yes,,2020.0,Cruise,AV,,,CA,1145 Hayes St,San Francisco,San Francisco,CA,94117.0,Yes,,,,,,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honda,,,CA,,,,,Yes,Parked,2.0,,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was reversing into a parking spot on westbound Hayes Street between Pierce Street and Scott Street. While reversing, the Cruise AV made contact with the front bumper of a Honda SUV that was parked behind the Cruise AV. This caused damage to the front bumper of the Honda SUV. There were no injuries and police were not called.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7750806,-122.435233,0,1,0,0,0
Zoox Inc.,Zoox Inc.,3/29/2022,8:20,Yes,,2016.0,Toyota,Highlander,,,CA,3rd Street and Stillman Street,San Francisco,San Francisco,CA,94107.0,Yes,,,,Yes,Vehicle,2,,,,Yes,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Prius,,,,Yes,,,,Yes,Vehicle,2.0,,,A Zoox vehicle in autonomous mode was stopped in traffic when a passenger vehicle from behind made contact with the rear of the Zoox vehicle at low speed. The police were not called.,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,37.7621,-122.3971,-1,0,0,1,1
Waymo LLC,Waymo LLC,3/31/2022,11:07,Yes,,2021.0,Jaguar,I-Pace,,,CA,1000 block of Potrero Avenue,San Francisco,San Francisco,CA,94110.0,Yes,,,,,,2,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyota Rav4,,,CA,Yes,,,,,,2.0,,,"On March 31, 2022 at 11:07 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on the 1000 block of Potrero Avenue.   The Waymo AV was stopped at a red traffic light on southbound Potrero Avenue when a pedestrian entered the crosswalk. When the traffic light turned green, the Waymo AV remained stopped for a crossing pedestrian who had just reached the pedestrian island in the middle of the crosswalk. After a brief pause, the ADV started to proceed, when the SUV behind the Waymo AV then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,Yes,37.7509,-122.4153,-1,0,1,1,0
Waymo LLC,Waymo LLC,4/1/2022,2:27,Yes,,2021.0,Jaguar,I-Pace,,,CA,19th Avenue and Lincoln Way,San Francisco,San Francisco,CA,94122.0,Yes,,,,,,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Honda Fit,,,CA,Yes,,,,,,2.0,,Yes,"On April 1, 2022 at 2:27 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on 19th Avenue at Lincoln Way.   The Waymo AV was in autonomous mode and proceeding southbound on 19th Avenue in the rightmost lane, with a passenger vehicle traveling parallel in the left adjacent lane. As the two vehicles approached Lincoln Way, the passenger vehicle cut into the Waymo’s lane and braked before turning right on Lincoln Way. As the passenger vehicle executed the right turn, the Waymo AV test driver transitioned to manual mode, applied the brakes, but made contact with the passenger side rear corner of the passenger vehicle. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The other party immediately left the scene of the event. The Waymo AV sustained minor damage. ",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,2019.0,,37.7655406,-122.477679,0,0,1,1,1
Cruise LLC,Cruise,4/1/2022,0:43,Yes,,2020.0,Cruise,AV,,,CA,1333 Bush St,San Francisco,San Francisco,CA,94109.0,Yes,,,,,,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,UNK,,,CA,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling eastbound on Bush Street toward the intersection with Larkin Street. The Cruise AV was traveling in the leftmost lane of three lanes of traffic. As the Cruise AV approached the intersection on a green light, a red SUV traveling in the same direction eastbound on Bush Street remained stopped in the middle lane at the intersection with Larkin Street. As the Cruise AV began to enter the intersection, the red SUV made a prohibited left turn onto Larkin Street from the middle lane on Bush Street, across both the left lane in which the Cruise AV was traveling and a lefthand turn lane. The Cruise AV braked to avoid the SUV turning into its lane and, shortly thereafter, the red SUV made contact with the Cruise AV, damaging the passenger side fender and front facia of the Cruise AV. The driver of the red SUV left the scene without exchanging information. There were no injuries and Cruise filed a police report.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,37.7887634,-122.4189316,0,0,1,1,1
Waymo LLC,Waymo LLC,4/5/2022,7:55,,Yes,2021.0,Jaguar,I-Pace,,,CA,Quintara Street and 20th Avenue,San Francisco,San Francisco,CA,94116.0,,Yes,,,,,2,,,Yes,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Lexus CT 200H,,,CA,Yes,,,,,,2.0,,,"On April 5, 2022 at 7:55 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger car on Quintara Street at 20th Avenue.  The Waymo AV came to a stop at a stop sign on Quintara Street at 20th Avenue, and as it was about to proceed, a passenger vehicle behind the Waymo AV then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage. ",,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Yes,37.7441,-122.4863,-1,0,1,1,1
Zoox Inc.,Zoox Inc.,4/6/2022,5:38,,Yes,2016.0,Highlander,Toyota,,,CA,9th and Bryant Street,San Francisco,San Francisco,CA,94103.0,Yes,,,,Yes,Vehicle,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Vehicle,2.0,,,A Zoox vehicle in autonomous mode was making a right turn from Bryant Street onto 9th Street when a vehicle overtaking from the rear switched lanes as it drove in front of the Zoox vehicle and made contact with the front Zoox sensors. The other party left the scene. The police were not called and there were no injuries.,,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,37.7714486,-122.408193,-1,0,1,1,0
Waymo LLC,Waymo LLC,4/8/2022,12:31,,Yes,2021.0,Jaguar,I-Pace,,,CA,Pine Street and Polk Street,San Francisco,San Francisco,CA,94109.0,Yes,,,,,,2,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Subaru Forester,,,CA,Yes,,,,,,2.0,,Yes,"On April 8, 2022 at 12:31 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a SUV on Pine Street at Polk Street.  The Waymo AV was traveling west on Pine Street in manual mode behind stopped traffic. While attempting a lane change from the far left lane into the center lane of Pine Street, the Waymo AV test driver partially entered the lane and made contact with a SUV entering the center lane from the far right lane. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained moderate damage. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,2021.0,,37.7917,-122.4186,0,1,1,1,2
Cruise LLC,Cruise,4/9/2022,1:55,Yes,,2020.0,Cruise,AV,,,CA,1798 Sacramento St,San Francisco,San Francisco,CA,94109.0,Yes,,,,,,2,,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,CA,Yes,,,,,,,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in driverless autonomous mode, was stopped at a red light on northbound Van Ness Avenue at the intersection with Sacramento Street. The Cruise AV entered the intersection on a green light and continued straight through the intersection before braking and coming to a complete stop near the end of the intersection. At the same time, a Toyota Sedan on westbound Sacramento Street began was making an unprotected right turn on a red light onto northbound Van Ness Avenue behind the Cruise AV. Shortly thereafter, the Toyota Sedan rear-ended the Cruise AV and made contact with the Cruise AV's rear bumper, damaging the rear right bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and a police report was later filed.   ",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.791406,-122.422251,0,0,1,1,1
Waymo LLC,Waymo LLC,4/11/2022,10:36,,Yes,2021.0,Jaguar,I-Pace,,,CA,Townsend St and Embarcadero,San Francisco,San Francisco,CA,94107.0,,Yes,,,,,2,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,MAZDA CX-5,,,CA,Yes,,,,,,2.0,,Yes,"On April 11, 2022 at 10:36 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a SUV on Townsend Street and Embarcadero.  While traveling southwest on Townsend Street in manual mode, the Waymo AV test driver approached a double-parked vehicle blocking traffic. The Waymo AV test driver pulled behind the double-parked vehicle. At this time, a SUV following closely behind the Waymo AV passed the Waymo AV on the left side, making contact with the rear left sensor of the Waymo AV. The SUV left the scene. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained minor damage. ",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021.0,,37.7834477,-122.38839,1,1,1,1,0
"Pony.ai, Inc.",Pony.ai,4/11/2022,9:00,Yes,,2020.0,Hyundai,Kona EV,,,CA,301 Ranch Dr,Milpitas,Santa Clara,CA,95035.0,,Yes,,,,,2,,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,Honda HR-V,,,CA,Yes,,,,,,1.0,,,"On April 11, 2022, while in supervised (“Drivered”) autonomous mode, a Pony.ai Autonomous Vehicle was parked in a parking lot when a passenger vehicle reversed into the Pony.ai vehicle. The Pony.ai vehicle sustained minor damage to the driver’s side rear door. There were no injuries or other property damage, the police were not called to the scene, and the Pony.ai vehicle was driven back to Pony.ai’s Fremont facility.",,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,2016.0,Yes,37.4316657,-121.9211306,0,1,0,1,1
Waymo LLC,Waymo LLC,4/13/2022,2:53,,Yes,2021.0,Jaguar,I-Pace,,,CA,Jerrold Avenue at Bayshore Blvd,San Francisco,San Francisco,CA,94124.0,Yes,,,,,,2,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford F-150,,,CA,Yes,,,,,,2.0,,Yes,"On April 13, 2022 at 2:53 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a pickup truck on Bayshore Boulevard at Jerrold Avenue.  The Waymo AV was traveling in autonomous mode in the slip lane on northbound Jerrold Avenue at Bayshore Boulevard. As the Waymo AV slowed to yield to a pedestrian pushing a shopping cart in a crosswalk, the Waymo AV test driver transitioned to manual mode and stopped the Waymo AV. The Waymo AV test driver then proceeded forward but had to yield to approaching traffic in the merge between northbound Jerrold Avenue and northbound Bayshore Boulevard. As the Waymo AV came to a stop, a pickup truck traveling behind the Waymo AV then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained minor damage. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2018.0,,37.7309,-122.3886,-1,0,1,1,2
Cruise LLC,Cruise,4/16/2022,11:21,,Yes,2020.0,Cruise,AV,,,CA,1460 Pine St,San Francisco,San Francisco,CA,94109.0,Yes,,,,,,2,,,Yes,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Lexus,,,,Yes,,,,,,,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling in the rightmost lane on westbound Pine Street between Polk Street and Larkin Street. A white Lexus traveling in the middle lane of westbound Pine Street alongside the Cruise AV attempted to change into the rightmost lane in which the Cruise AV was traveling. Shortly thereafter, the white Lexus made contact with the left rear door of the Cruise AV, damaging the Cruise AV’s left rear door. The driver of the other vehicle left the scene without exchanging information. There were no injuries and a police report was later filed.    ",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.789973,-122.4198922,0,0,0,1,1
Cruise LLC,Cruise,4/17/2022,12:13,Yes,,2022.0,Cruise,AV,,,CA,3289 Mission St,San Francisco,San Francisco,CA,94110.0,Yes,,,,,,2,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honda,,,,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling southbound on Mission street toward the intersection with 29th Street. As it approached the intersection, the Cruise AV began to brake in response to a red light when a Honda Civic traveling behind the Cruise AV made contact with the rear bumper of the Cruise AV, damaging the Cruise AV’s rear fascia and rear right sensor. The driver of the other vehicle left the scene without exchanging information. There were no injuries and a police report was later filed.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.7442135,-122.4205376,0,0,1,1,1
Waymo LLC,Waymo LLC,4/18/2022,2:31,Yes,,2021.0,Jaguar,I-Pace,,,CA,200 block of Duboce Avenue,San Francisco,San Francisco,CA,94103.0,Yes,,,,,,1,,,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On April 18, 2022 at 2:31 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA made contact with a parking lot driveway on the 200 block of Duboce Avenue.   The Waymo AV was traveling westbound on Duboce Avenue in autonomous mode when it approached a parking lot on the left side of the street. As the Waymo AV turned left and into the parking lot, the Waymo AV’s undercarriage made contact with the driveway pavement (the AV did not contact any vehicle or road user). At the time of the contact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor undercarriage damage. ",,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,37.7725,-122.4147,-1,0,0,0,0
Zoox Inc.,Zoox Inc.,4/22/2022,5:50,,Yes,2016.0,Toyota,Highlander,,,CA,Mason St. and Ellis St. Intersection,San Francisco,San Francisco,CA,94102.0,Yes,,,,Yes,Vehicle,2,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Vehicle,2.0,,,"A Zoox vehicle in autonomous mode was proceeding straight through the intersection of Mason St. and Ellis St. when it was rear-ended by a passenger vehicle that was switching lanes and made contact with the Zoox vehicle's sensors. The other party left the scene. The police were not called, and there were no injuries.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.7813,-122.4167,0,0,1,1,1
Waymo LLC,Waymo LLC,4/24/2022,4:36,,Yes,2021.0,Jaguar,I-Pace,,,CA,Lincoln Way at 17th Avenue,San Francsico,San Francisco,CA,94122.0,,Yes,,,,,3,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyota Rav 4,,,CA,Yes,,,,,,3.0,,,"On April 24, 2022 at 4:36 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Lincoln Way at 17th Avenue.   The Waymo AV was in autonomous mode and traveling on westbound Lincoln Way, when it slowed for the vehicle directly in front of the Waymo AV, which stopped shortly after passing 17th Avenue. Shortly after the Waymo AV came to a stop, the SUV behind the Waymo AV was rear-ended by a pickup truck, and the SUV then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,Yes,37.7593,-122.4836,0,0,1,1,2
Cruise LLC,Cruise,4/24/2022,3:35,Yes,,2020.0,Cruise,AV,,,CA,1225 Steiner,San Francisco,San Francisco,CA,94115.0,Yes,,,,,,2,,,Yes,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,BMW,,,CA,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in driverless autonomous mode, was traveling northbound on Steiner Street toward the intersection with Eddy Street. The Cruise AV began to brake for the stop sign on Steiner Street at the intersection with Eddy Street when a white BMW traveling behind the Cruise AV made contact with the rear driver side bumper of the Cruise AV, damaging the Cruise AV’s rear fascia. The driver of the other vehicle left the scene without exchanging information. There were no injuries and a police report was later filed.   ",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.7805645,-122.433946,-1,0,1,1,1
